Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates,SA
"RT @MyDoncaster: In November 1970, officials in Oregon, USA decided to blow up a rotting whale carcass. The whole thing went horribly wrong…",140,1247250103141675009,Mon Apr 06 19:49:32 +0000 2020,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,45180,nan,nan,nan,-0.15
"RT @foroconsultivo: 👨🏻‍🔬‼️Los virus: viajeros sin pasaporte‼️👨🏻‍🔬
Resuelve tus dudas #EnVivo con Antonio Lazcano
📆07 de abril
⏰17:30 hrs.
#…",140,1247313553113128961,Tue Apr 07 00:01:39 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,182,nan,nan,nan,0.0
"Ranking actualizado 6/04 7:00 pm del #coronavirus en LATAM Casos/Muertes 
🇧🇷 12161/564
🇨🇱 4815/37
🇪🇨 3747/191*
🇵🇪 2561/92
🇲🇽 2143/94
🇵🇦 1988/54
🇩🇴 1828/86
🇦🇷 1554/48
🇨🇴 1579/46
🇨🇷 467/2
🇺🇾 406/6
🇨🇺 350/9
🇭🇳 298/22
🇧🇴 183/11
🇻🇪 165/7
🇵🇾 113/5
🇬🇹 70/3
#COVID19 #CuarentenaTotal",275,1247321513084301317,Tue Apr 07 00:33:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,1,nan,nan,nan,0.0
"RT @DrJacobsRad: Pandemic recommendations from the World Health Organization:

For high severity pandemics, the WHO recommends FACE MASKS F…",140,1247365856910135296,Tue Apr 07 03:29:29 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,59,nan,nan,nan,0.16
"RT @KKMPutrajaya: Terdapat pertambahan zon merah menjadi 21, berdasarkan statistik terkini sehingga 12pm, 6 April. 

Daerah baru zon merah…",139,1247401038094598146,Tue Apr 07 05:49:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,4175,nan,nan,nan,0.1590909090909091
"RT @rishibagree: Why China needs 200,000+ body bags urgently from Taiwan when it claims a death toll of only 3,326 from #COVID19 ??? https:…",140,1247418150217560064,Tue Apr 07 06:57:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,3710,nan,nan,nan,0.0
"RT @monaeltahawy: On #WorldHealthDay, I want to show gratitude and thanks to healthcare workers across the world, especially those on the f…",140,1247639653227941889,Tue Apr 07 21:37:28 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,42,nan,nan,nan,0.1
@maireadhilliar1 Nursing home residrnts were treated as third-class citizens until it was too late even though it was widely known from outset that elder people were in greatest danger. There will be one hell of an inquiry into this when the #coronavirus passes. #TonightVMTV,275,1247640297997307904,Tue Apr 07 21:40:01 +0000 2020,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",5,3,nan,nan,nan,0.15
"RT @lewis_goodall: NEW: Trump says that he will ""put on hold"" American funding to the World Health Organisation. He says they ""missed the c…",140,1247832258419068929,Wed Apr 08 10:22:48 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,80,nan,nan,nan,0.06818181818181818
"Les cuesta mucho puto trabajo quedarse en su casa dos semanas, pero se quedan con su tóxico por años.
#QuedateEnTuCasaCarajo 
#coronavirus",138,1247872212226527233,Wed Apr 08 13:01:34 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,nan,nan,nan,-0.2916666666666667
